10.135.60.249 EST112-ALA3/F31
10.135.61.27 EST113-ALA3/F31
172.23.183.7 EST126-ALA3/H35
172.23.183.9 EST128-ALA3/L36
172.24.207.1 EST401-PINTURA/AB1
172.24.207.3 EST403-PINTURA//IJ9
172.24.207.4 EST404-fluten
172.24.207.5 EST405-PINTURA/DE6
172.24.207.6 EST406-PINTURA/DE6
172.24.207.7 EST407-PINTURA/DE8
172.24.207.8 EST408-PINTURA/DE8
172.24.207.9 EST409-PINTURA/E6
172.24.207.10 EST410-PINTURA/E8
172.24.207.11 EST411-PINTURAE6
172.24.207.12 EST412-PINTURA/E8
172.24.207.13 EST421-PINTURA/A7
10.135.60.192 EST505-ALA4/M20
10.135.60.194 EST507-ALA4/K11
10.135.60.195 EST508-ALA4/I22
10.135.60.196 EST509-ALA4/I32
10.135.60.33 EST511-ALA4/K31
10.135.60.231 EST602-ALA4/I25
10.135.60.105 EST604-ALA4/G21
10.135.60.176 EST607-ALA4/G15
10.135.61.225 EST608-ALA4/G24
10.135.61.103 EST609-ALA4/G18
10.135.61.223 EST610-ALA4/H31
172.24.123.2 EST614-ALA4/H25
10.135.60.234 EST703-ALA4/H12
10.135.60.235 EST704-ALA4/I12
10.135.60.236 EST706-ALA4/I9
10.135.60.237 EST707-ALA4/H9
10.135.60.34 EST711-ALA4-G3
10.135.60.27 EST712-ALA4/G7
10.135.60.25 EST714-ALA4/G10
10.135.60.32 EST715-ALA4/G3
10.135.60.28 EST716-ALA4/G15
10.135.60.37 EST717-ALA4/H16
10.135.61.226 EST803-ALA4/N1
10.135.60.236 EST804-ALA4/I5
10.135.61.191 EST806-ALA4/H9
10.135.60.241 EST807-ALA4/G6
10.135.61.193 EST808-ALA4/G8
10.135.60.243 EST809-ALA4/G11
10.135.61.195 EST812-ALA4-I0
172.24.123.2 EST813-ALA4/N1
10.135.61.196 EST814-ALA4/N1
10.135.61.198 EST816-ALA4/N3
10.135.61.199 EST817-CPS/B14
10.135.61.200 EST818-ALA4/Q1
